,Country,City,Lat,Lng,Hotel Name
105,PT,aljezur,37.32,-8.8,Herdade Monte Do Sol
106,ZM,sinazongwe,-17.26,27.46,Lyawa Lodge
107,GE,khani,41.96,42.96,Nino village
108,AT,murzzuschlag,47.6,15.68,Krainer Hotel Restaurant Café
109,CI,korhogo,9.45,-5.63,Hotel Non Stop
110,IN,tezu,27.92,96.17,Oshin Hotel
111,CU,banes,20.96,-75.72,
112,BR,sao goncalo do sapucai,-21.89,-45.6,Novo Hotel
113,SA,faya,18.39,42.45,
114,,luderitz,-26.65,15.16,Obelix Guesthouse
115,BR,castro,-24.79,-50.01,Hotel Buganville Express
116,UZ,komsomolskiy,40.43,71.72,Hotel Adras
117,RU,malaya serdoba,52.47,44.95,
118,MX,peto,20.13,-88.92,Hotel D'Rodi&Eve
119,SB,honiara,-9.43,159.95,Coral Sea Resort & Casino
120,US,fortuna,40.6,-124.16,Bear River Casino Resort
121,TZ,mahanje,-9.93,35.33,
122,CN,qinhuangdao,39.93,119.59,Shangri La Hotel Qinhuangdao
123,GW,bubaque,11.28,-15.83,Ponta Anchaca
124,MA,rabat,33.99,-6.84,Dawliz Resort & Spa
125,MA,fez,34.04,-5.0,HÔTEL SAHRAI
126,RU,beringovskiy,63.05,179.32,Beringgorski
127,CA,la ronge,55.1,-105.28,The Harbour Inn
128,ID,sorong,-0.88,131.25,JE Meridien
129,AU,innisfail,-17.53,146.03,Goondi Hill Hotel
130,VU,isangel,-19.55,169.27,Apera Beach Front Bungalows
131,KE,marsabit,2.33,37.99,Nomads Trail Hotel
132,PT,horta,38.53,-28.63,Faial Resort Hotel
133,RU,okha,53.57,142.95,"Gostinitsa ""Sakhalin-Sfera"""
134,ES,arrecife,28.96,-13.55,Occidental Lanzarote Playa
135,MY,georgetown,5.41,100.34,The Prestige Hotel Penang
136,RU,khandyga,62.67,135.6,Apel'sin
137,BW,hukuntsi,-24.0,21.75,Entabeni Hotel
138,NZ,dunedin,-45.87,170.5,Distinction Dunedin Hotel
139,CL,lebu,-37.62,-73.65,Hotel Plaza Lebu
140,SO,hobyo,5.35,48.53,
141,EG,marsa matruh,31.35,27.25,Porto Matrouh Hotel
142,ID,baturaja,-4.13,104.17,Hotel Bukit Indah Lestari
143,EC,manta,-0.95,-80.73,Hotel Poseidon
144,RU,zelenoborsk,61.47,64.03,
145,RU,nikolskoye,59.7,30.79,Tourist House - Sablino
146,AU,mackay,-21.15,149.2,Metropolitan Hotel
147,SS,waw,7.7,28.0,Universal Gab Hotel
148,ML,taoudenni,22.68,-3.98,
149,GL,tasiilaq,65.61,-37.64,Hotel Angmagssalik
150,ID,poso,-1.4,120.75,Ancyra Hotel By Continent - Poso
151,KR,kumi,36.11,128.34,Hotel Geumosan
152,MN,hovd,48.01,91.64,Minj Hotel
153,RU,kunashak,55.7,61.55,Gostinitsa Kunashak
154,RU,khatanga,71.97,102.5,
155,RU,verkhoyansk,67.54,133.38,
156,IS,vestmannaeyjar,63.44,-20.27,Hotel Vestmannaeyjar
157,CN,jieshi,22.81,115.83,维也纳酒店
158,US,amarillo,35.22,-101.83,La Quinta Inn by Wyndham Amarillo Mid-City
159,MU,bambous virieux,-20.34,57.76,Laguna Beach Hotel & Spa
160,GT,champerico,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
161,ZA,port alfred,-33.59,26.89,The Halyards Hotel
162,MV,hithadhoo,-0.6,73.08,Pebbles Inn
163,MR,adrar,20.5,-10.07,
164,CA,yellowknife,62.46,-114.35,The Explorer Hotel
165,RU,deputatskiy,69.3,139.9,
166,PF,tautira,-17.73,-149.15,
167,JP,katsuura,35.13,140.3,Splash Guest House
168,NZ,paeroa,-37.37,175.67,Pedlars Motel
169,ID,soe,-9.86,124.28,Dena Hotel
170,ZA,kruisfontein,-34.0,24.73,
171,PH,languyan,5.26,120.08,
172,US,susanville,40.42,-120.65,Diamond Mountain Casino & Hotel
173,JP,gushikawa,26.35,127.87,ホテルハーバー
174,ZA,bredasdorp,-34.53,20.04,Victoria Hotel - Bredasdorp
175,AU,launceston,-41.45,147.17,Peppers Seaport Launceston
176,AU,hervey bay,-25.3,152.85,Oaks Resort & Spa Hervey Bay
177,NZ,kaeo,-35.1,173.78,Pacific Harbour Lodge
178,RU,lensk,60.73,114.93,Mini-hotel Uyut
179,AU,port keats,-14.25,129.55,TDC Village (Hundred Man Camp)
180,US,clinton,42.59,-82.92,Holiday Inn Express & Suites Chesterfield - Selfridge Area
181,AU,mount isa,-20.73,139.5,Abacus Motel
182,US,pittsburg,38.03,-121.88,Hampton Inn & Suites Pittsburg
183,BR,caravelas,-17.71,-39.25,Pousada Encanto Abrolhos
184,US,hamilton,39.18,-84.53,Kingsgate Conference Center at the University of Cincinnati
185,RU,kondinskoye,59.65,67.41,
186,KZ,shakhtinsk,49.71,72.59,Gostinitsa
187,US,marinette,45.1,-87.63,"AmericInn by Wyndham, Menominee"
188,DE,angermunde,53.02,14.0,Hotel 1912
189,PT,camacha,33.08,-16.33,Hotel Porto Santo & Spa
190,US,meadow lake,34.8,-106.54,
191,BR,coari,-4.08,-63.14,Hotel Regional II
192,TR,sinop,41.77,34.87,
193,RU,egvekinot,66.32,-179.17,
194,US,placerville,38.73,-120.8,Historic Cary House Hotel
195,CL,constitucion,-35.33,-72.42,Hotel Playa El Cable
196,JP,sumoto,34.35,134.9,Hotel New Awaji
197,AR,neuquen,-38.95,-68.06,Hilton Garden Inn Neuquen
198,FO,vestmanna,62.16,-7.17,Budget Guesthouse Borgustova
199,TH,bang saphan,11.21,99.51,SEAnery Beach Resort
200,PT,praia da vitoria,38.73,-27.07,Atlântida Mar Hotel
201,SR,totness,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
202,MX,pochutla,15.74,-96.47,Hotel Alebrijes
203,PT,ribeira grande,38.52,-28.7,Quinta Das Buganvílias
204,ID,manado,1.49,124.85,Four Points by Sheraton Manado
205,PA,portobelo,9.55,-79.65,El Otro Lado - Private Retreat
206,AR,formosa,-26.18,-58.18,Howard Johnson Hotel And Casino Formosa
207,MX,san patricio,19.22,-104.7,Grand Isla Navidad Resort
208,MG,ambilobe,-13.2,49.05,Hotel National
209,CO,miranda,3.25,-76.23,
210,CA,clyde river,70.47,-68.59,Naujaaraaluit – Clyde River Hotel
211,PH,marawi,8.0,124.29,Marawi Resort Hotel
212,MU,souillac,-20.52,57.52,Shanti Maurice Resort & Spa
213,MZ,inhambane,-23.86,35.38,Sentidos Beach Retreat
214,US,palmer,42.16,-72.33,The Trainmaster's Inn
215,PT,lagoa,39.05,-27.98,Graciosa Resort - Biosphere Island Hotel
216,PH,lubao,14.92,120.55,Pradera Verde
217,,outjo,-20.12,16.15,Etotongwe Lodge
218,TZ,kirya,-3.92,37.48,
219,PG,namatanai,-3.67,152.43,Namatanai Hotel
220,RU,derbent,42.07,48.29,Metropol'
221,AR,rio gallegos,-51.62,-69.22,Hotel Patagonia
222,US,portales,34.19,-103.33,Holiday Inn Express & Suites Portales
223,CU,niquero,20.04,-77.58,Niquero Hotel
224,AR,parana,-31.73,-60.52,Maran Suites & Towers
225,,warmbad,-28.45,18.73,
226,CA,halifax,44.65,-63.57,Halifax Marriott Harbourfront Hotel
227,AU,port hedland,-20.32,118.57,The Esplanade Hotel
228,OM,sur,22.57,59.53,Sur Plaza Hotel
229,BW,moshupa,-24.78,25.42,Sim's Bed & Breakfast
