,Country,City,Lat,Lng,Hotel Name
467,RU,igrim,63.19,64.42,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
468,CN,weihai,37.5,122.11,The Center Hotel Weihai
469,RU,sokolskoye,57.14,43.16,Akvatoriya
470,PE,hualmay,-11.1,-77.61,La Posada De Santa Maria
471,NO,karasjok,69.47,25.51,Scandic Karasjok
472,US,westport,41.14,-73.36,Hilton Garden Inn Norwalk
473,SO,bandarbeyla,9.49,50.81,REER XOOSHLE GROUP
474,ES,teguise,29.06,-13.56,HOTEL BOUTIQUE PALACIO ICO
475,CD,businga,3.33,20.88,
476,BO,charagua,-19.8,-63.22,Residencial Luismar
477,NO,rjukan,59.88,8.59,Park Hotell Rjukan
478,RU,udomlya,57.88,34.99,Gostinitsa Nomerok
479,BR,capao da canoa,-29.75,-50.01,Hotel Napoli
480,JP,nishihara,26.18,127.76,百名伽藍
481,PE,huarmey,-10.07,-78.15,Hotel la siesta
482,PF,teahupoo,-17.83,-149.27,Pension Bonjouir
483,US,starkville,33.45,-88.82,Hilton Garden Inn Starkville
484,RU,laukaa,58.74,29.85,Hotel Globus
485,AR,comodoro rivadavia,-45.87,-67.5,WAM Hotel Patagónico
486,RU,mayya,61.73,130.28,
487,MZ,xai-xai,-25.05,33.64,
488,BR,sao domingos,-13.4,-46.32,Pousada Solar Sunflowers.
489,ZM,zambezi,-13.54,23.1,Royal Kutachika Lodge
490,MX,san quintin,30.48,-115.95,Don Eddie's Landing
491,US,morgan city,29.7,-91.21,Hampton Inn & Suites Morgan City
492,OM,muscat,23.61,58.59,"Al Bustan Palace, A Ritz-Carlton Hotel"
493,AR,necochea,-38.55,-58.74,Hotel Ñikén Spa & Business Center
494,CA,fort nelson,58.81,-122.7,The Fort Nelson Hotel
495,CL,coihaique,-45.58,-72.07,Nomades Hotel Boutique
496,PT,ponta delgada,37.73,-25.67,Azor Hotel
497,AU,byron bay,-28.65,153.62,Bayhaven Lodge
498,PW,kloulklubed,7.04,134.26,The Adventures Inn-Peleliu
499,IN,tura,25.52,90.22,Hotel RIKMAN Continental
500,BR,carauari,-4.88,-66.9,Tatiana's Hotel
501,AU,sawtell,-30.38,153.1,BIG4 Sawtell Beach Holiday Park
502,BR,augusto correa,-1.02,-46.63,Hotel Urumajo
503,ES,burgos,42.34,-3.71,Landa
504,TM,gazanjyk,39.24,55.52,Railway motel
505,CN,chifeng,42.27,118.96,Wanda Realm Chifeng
506,US,sitka,57.05,-135.33,Sitka Hotel & Restaurant
507,IN,tikamgarh,24.75,78.83,Hotel Apoorv
508,ID,labuhan,-6.88,112.21,
509,US,mount pleasant,32.79,-79.86,Charleston Harbor Resort and Marina
510,PH,matnog,12.59,124.09,Star Dust Beach Resort
511,RU,oksovskiy,62.61,39.9,Hotel Severoonezhsk
512,TD,goundi,9.36,17.37,
513,VG,road town,18.42,-64.62,Sea View Hotel
514,NE,tanout,14.97,8.89,
515,JP,hirara,24.8,125.28,HOTEL LOCUS
516,NG,jalingo,8.88,11.37,"Fast Track Hotel, Jalingo"
517,ID,paciran,-6.88,112.38,Tanjung Kodok Beach Resort
518,RO,grojdibodu,43.75,24.27,
519,IN,kuchera,26.98,73.97,
520,RU,aksarka,66.56,67.8,
521,US,fredonia,42.44,-79.33,Best Western Dunkirk & Fredonia Inn
522,BR,porto murtinho,-21.7,-57.88,Hotel Saladero Cue
523,RU,pudozh,61.81,36.53,Отель Онего
524,MX,san mateo del mar,16.2,-95.0,
525,LY,hun,29.13,15.95,دار هون للضيافة
526,SD,wagar,16.15,36.2,
527,BR,acarau,-2.89,-40.12,Castelo Encantado
528,EC,latacunga,-0.93,-78.62,Hotel Rodelu
529,AU,batemans bay,-35.72,150.18,Corrigans Cove Resort
530,US,union,40.63,-74.27,Hotel Executive Suites
531,CN,jiangyou,31.77,104.72,Jiangyou Hotel
532,BR,boa viagem,-5.13,-39.73,Ceará Central Turismo
533,AW,oranjestad,12.52,-70.03,Renaissance Aruba Resort & Casino
534,GB,ayr,55.46,-4.63,Western House Hotel
535,RU,ust-kuyga,70.02,135.6,
536,BY,malaryta,51.79,24.07,охотбаза Орехово
537,CO,la macarena,2.18,-73.78,Hotel las macarenias.com
538,US,mandan,46.83,-100.89,The Blackstone Hotel
539,NC,koumac,-20.57,164.28,Hotel Karem Bay
540,BR,sao bernardo,-3.36,-42.42,Hotel Prado
541,RU,pallasovka,50.05,46.88,Premier Hotel
542,AU,sydney,-33.87,151.21,Song Hotel Sydney
543,RU,tazovskiy,67.47,78.7,Hotel Tazovchanka
544,US,plainview,40.78,-73.47,Marriott Melville Long Island
545,JP,ohara,35.25,140.38,ほし乃や旅館
546,PH,lookan,5.04,120.1,
547,PG,kandrian,-6.22,149.55,
548,GA,omboue,-1.57,9.26,Hotel Olako
549,ID,tual,-5.67,132.75,Grand Vilia Hotel
550,RU,nyurba,63.28,118.33,У Валерии
551,RU,mugur-aksy,50.35,90.5,
552,US,houma,29.6,-90.72,Courtyard by Marriott Houma
553,AU,port macquarie,-31.43,152.92,Sails Port Macquarie by Rydges
554,IT,thiene,45.71,11.48,Borghetto San Biagio
555,JP,shimoda,34.67,138.95,Hotel Izukyu
556,UY,rocha,-34.48,-54.33,Casa Rodo 53
557,CA,normandin,48.83,-72.53,Gîtes Makadan (Les)
558,IN,phulpur,25.55,82.1,
559,BR,alta floresta,-9.88,-56.09,Floresta Amazonica Hotel
560,US,roma,43.21,-75.46,Wingate By Wyndham Rome
561,RU,bilibino,68.05,166.44,Profilaktoriy Baes
562,IR,sarab,38.61,44.99,
563,BR,cidreira,-30.18,-50.21,Pousada Rosa
564,NO,snasa,64.25,12.38,Gran Northern
565,IN,singarayakonda,15.25,80.03,
566,MA,asfi,32.3,-9.24,Atlantique Panorama
567,GR,melivoia,39.75,22.8,Archontiko Soulioti
568,MA,nador,35.17,-2.93,"Hotel Marchica Lagoon Resort, Nador Morocco"
569,ES,lalin,42.72,-8.12,Hotel Pulperia
570,BR,guaraniacu,-25.1,-52.88,Dalla´s Hotel
571,CO,pueblo bello,8.2,-76.53,
572,CN,altay,47.87,88.12,Sunshine Hotel
573,RU,plastun,44.76,136.29,"Ресторан-гостиница ""Империя"""
574,CN,shenjiamen,29.96,122.3,Hilton Zhoushan
575,PH,marihatag,8.79,126.3,Mariner's Place & Resort
576,NO,berlevag,70.86,29.09,Berlevåg camping & Appartement AS
577,RE,saint-joseph,-21.37,55.62,Les Lodges Vanilliers
578,BR,mancio lima,-7.61,-72.9,Hotel e Distribuidora Voyage
579,RU,ayan,56.45,138.17,Gostinitsa
580,AU,cairns,-16.92,145.77,Gilligan's
581,SB,buala,-8.14,159.59,Maringe Lagoon Lodge
582,US,broome,42.25,-75.83,
583,CD,kabinda,-6.13,24.48,
584,PH,dingle,11.0,122.67,
585,PL,leczna,51.3,22.88,Secession
586,RU,yerbogachen,61.28,108.01,
587,SN,linguere,15.4,-15.12,Centre Amadou Seck - Linguere
588,RU,svetlaya,46.54,138.33,
